year,title,place,duration,playtime,playage,male,female,10s,20s,30s,40s,50s,category,코미디,판타지,미스터리,공포,액션,가족,모험,전쟁,시대극,범죄,로맨스,종교,퀴어,스포츠,정치,법정,재난,성장,소설원작,영화원작,실화기반,우정,청춘,복수,키즈,폭력,선정,드라마,스릴러,image_url
2023,일라이,링크아트센터 페이코홀,2023.02.10 ~2023.04.30,150분(인터미션 15분 포함),16세 이상 관람가,4,96,6.4,47.6,33.6,10,1.7,"['스릴러','미스터리','성장']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,https://ticketimage.interpark.com/Play/image/large/23/23000681_p.gif
2023,비밀의 화원,국립정동극장(서울),2023.03.10 ~2023.04.30,100분,8세이상 관람가능,10.3,89.7,7.6,44.9,30.7,13.2,3,"['소설기반','판타지','성장','드라마']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/23/23001113_p.gif
2023,종의 기원,드림아트센터 1관,2022.12.18 ~2023.03.05,95분,중학생이상 관람가,3.8,96.2,7.7,42.5,31.8,13.3,3.4,"['소설원작','스릴러','미스터리','범죄','폭력']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,https://ticketimage.interpark.com/Play/image/large/22/22015474_p.gif
2023,식스,coex 신한카드 artium,2023.03.10 ~2023.03.26,80분,중학생이상 관람가,16.7,83.3,2.8,36.1,30.2,18.9,10,"['시대극','성장']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23000281_p.gif
2023,은밀하게 위대하게 : THE LAST,KT＆G 상상마당 대치아트홀,2023.03.04 ~2023.05.07,145분(인터미션 15분 포함),미취학아동입장불가,3.4,96.6,3.8,49.3,32.3,9.8,4.1,"['소설원작','폭력','범죄','액션']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23001325_p.gif
2023,루드윅 : 베토벤 더 피아노,예스24스테이지 1관,2022.12.20 ~2023.03.12,110분,만 10세이상,8,92,7.1,41.5,29.8,15.4,5,"['실화기반','로맨스','시대극']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/22/22015844_p.gif
2023,"실비아, 살다",대학로 TOM(티오엠) 2관,2023.02.11 ~2023.04.16,120분,만 14세이상,8,92,6,50.9,31.4,8.7,2.6,"['판타지', '실화기반']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/22/22017876_p.gif
2023,친정엄마,디큐브 링크아트센터,2023.03.28 ~2023.06.04,155분(인터미션 15분 포함),만 8세이상,18.3,81.7,0.8,15.2,31,29.6,16.3,"['가족','성장','드라마']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/23/23002052_p.gif
2023,보이체크 인 더 다크,링크아트센터 벅스홀,2023.02.07 ~2023.04.30,90분,만 13세이상,5.5,94.5,4.4,43.1,34.8,15.2,1.7,"['전쟁','로맨스','소설원작]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23000450_p.gif
2023,영웅,한국소리문화의전당 모악당,2023.06.16 ~2023.06.18,160분(인터미션 20분 포함),8세이상 관람가능,26,74,3,21.8,33.6,34.1,6.2,"['전쟁','시대극','법정','실화기반','복수']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23004489_p.gif
2023,웨이스티드,대학로 아트원씨어터 2관,2022.12.13 ~2023.02.26,150분(인터미션 15분 포함),14세 이상 관람가,5.8,94.2,6.9,46.1,32,11.7,2.6,"['시대극','실화기반']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/22/22014574_p.gif
2023,빠리빵집,세종문화회관 S씨어터,2023.05.13 ~2023.06.25,110분,만 7세이상,7.7,92.3,2,23.4,32.6,26,12.6,"['가족','판타지','성장']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23003123_p.gif
2023,이상한 나라의 앨리스,올림픽공원 올림픽홀,2023.05.26 ~2023.05.28,90분,전체관람가,24,76,0.9,10.7,33.4,47.9,6.1,"['소설원작','키즈','판타지']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23003121_p.gif
2023,앤 (ANNE),예그린씨어터,2023.02.03 ~2023.04.09,105분,만 5세이상,13,87,4.9,49.2,28.5,14.8,2.3,['성장'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23000197_p.gif
2023,쿠로이 저택엔 누가 살고 있을까？,플러스씨어터,2023.05.02 ~2023.07.23,110분,8세이상 관람가능,9.8,90.2,4.9,39,38.1,12.8,3.7,"['시대극','성장']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23004411_p.gif
2023,다이스,CJ아지트 대학로,2023.02.03 ~2023.03.05,110분,만 13세이상,4.7,95.3,3.9,44.4,37,11.1,2.5,"['시대극','판타지']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/22/22017653_p.gif
2023,신이 나를 만들 때,대학로 예그린씨어터,2023.04.18 ~2023.06.11,110분,만 10세이상,5.5,94.5,4.7,49.5,31.8,11.5,2.1,['코미디'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/23/23002928_p.gif
